Tanggal,Komentar,SE
2021-08-15 11:45:51,"Salam.. mau tanya, kalo mau perjalanan ke Turki apa yang diperlukan ? kalo di Turki hanya diperlukan hasil test PCR saja.",SE Kemenhub-62-2021
2021-08-19 7:29:56,bagaimana ketentuan penerbangan untuk orang yang belum bisa vaksin karena belum 3 bulan pasca positif covid 19?,SE Kemenhub-62-2021
2021-08-25 15:53:33,"Min kalau sudah vaksin tapi sertifikat belom keluar, di cek di peduli juga gak ada , apa bisa cuma pakek blangko vaksin ?",SE Kemenhub-62-2021
2021-07-20 15:56:36,Kaget ada idul adha ta min? Kok infomu dadakan,SE Kemenhub-53-2021
2021-07-21 3:59:40,"Halo admin mau nanya, hasil tes PCR harus di print kah? Soalnya saya pcr via halodoc hasilnya keluar nanti malem sedangkan penerbangan besok pagi. Rumah ga ada printer Masa ppkm mana ada print2an yg buka",SE Kemenhub-53-2021
2021-07-21 13:48:40,Kalo yg ga boleh divaksin gmn ?,SE Kemenhub-53-2021
2021-07-22 11:07:16,"Itu ditulis pengantar jenazah, saya bukan pengantar jenazah tapi yang terbang karena keperluan ada pemakaman keluarga, apakah diizinkan terbang pada periode tanggal 18-25 ini?",SE Kemenhub-53-2021
2021-05-28 0:18:54,apakah pengambilan sampel tes covid 19 harus di lakun di bandara untuk kurun waktu di atas min?,SE Kemenhub-38-2021
2021-05-28 4:37:47,"Admin, kita boleh bawa spray desinfektan ga ya? Kalo boleh, maksimal brp ?",SE Kemenhub-38-2021
2021-05-29 3:50:44,Bolehkah pake tes rapid dari luar bandara???,SE Kemenhub-38-2021
2021-05-30 8:51:44,"Sore min. Apakah setelah tes genose di bandara keberangkatan, dites lagi di bandara tujuan? Kemudian, apakah setelah genose , bakal diberikan semacam surat keterangan hasil tes?",SE Kemenhub-38-2021
2021-05-30 14:59:15,"Admin, di bandara tanjung pandan (Belitung) ada genose?",SE Kemenhub-38-2021
2021-05-31 21:35:14,Tes Antigen di bandara Juanda buka mulai jam berapa dan tempatnya di sebelah mana ?,SE Kemenhub-38-2021
2021-06-01 5:56:30,"Siang min, untuk penerbangan tg 2 pukul 6 bisakah menggunakan genose dr luar bandara min? Karena tidak ada klinik atau rs yg melayani rapid antigen di hari libur",SE Kemenhub-38-2021
2021-06-01 16:22:40,layanan genose di yia mulai jam berapa min,SE Kemenhub-38-2021
2021-06-01 17:15:08,Hi min untuk bulan juni bagaimana peraturannya ya? SUB-DPS maupun DPS-SUB untuk antigen apakah tetap 2x24 jam?,SE Kemenhub-38-2021
2021-06-01 22:17:28,"Pagi sahabat, Genose di Bandar Udara I Gusti Ngurah Rai Bali dapat dilakukan di hari H-1 sebelum keberangkatan, namun disarankan untuk berkoordinasi terlebih dahulu dengan pihak maskapai yg akan digunakan dikarenakan setiap maskapai mempunyai kebijakan yg berbeda-beda.",SE Kemenhub-38-2021
2021-06-02 9:17:35,"Mau tanya min, kalo semisal mau genose di stasiun apa bs ya? Atau harus di bandara? Meskipun untuk naik pesawat.. krn rumah dekat stasiun jd berencana genose di stasiun aja Sehari sebelum keberangkatan? Thx",SE Kemenhub-38-2021
2021-06-18 7:15:32,"Siang sahabat, persyaratan perjalanan dgn rute tersebut dapat menunjukkan salah satu dari surat keterangan hasil negatif tes RT-PCR/ Rapid Tes Antigen yang sampelnya diambil dalam kurun waktu maksimal 1x24 jam atau hasil negatif tes GeNose C19 di Bandara sebelum keberangkatan.",SE Kemenhub-38-2021
2021-06-18 23:38:26,"Hallo min, apakah tes hasil rapid antigen dari stasiun bisa digunakan untuk naik pesawat? Karena saya harus naik kereta dulu untuk ke bandara",SE Kemenhub-38-2021
2021-07-02 0:29:14,"Pagi min mau tanya nih perarturan penerbangan tanggal 3-20 rute yia-kalimantan itu gimana yaa, wajib nunjukkin kartu vaksin enggak , kan keponakan saya umur 9 tahun belum divaksin kan itu gimana ya?",SE Kemenhub-38-2021
2021-07-08 2:51:03,Terima kasih admin. Balasan tanya saya sangat cepat Tak seperti dia yang klw balas lama banget.,SE Kemenhub-38-2021
2021-07-15 14:36:35,"Maaf min nanya, syarat PCR kan 2x24 jam.. kalo tiba2 penerbangan di reschedule ke hari berikutnya oleh maskapai, besok hrs nya flight tp diundur lusa, otomatis PCR udah ga berlaku dong? Harus PCR ulang ya?",SE Kemenhub-38-2021
2021-03-29 16:11:41,berikut Surat Edaran No 12 tahun 2021 terbaru yang dikeluarkan oleh Satuan Tugas Penanganan Covid-19 Nasional tentang ketentuan perjalanan orang dalam negeri dalam masa pandemi,SE Satgas-12-2021
2021-03-29 16:34:19,"Malam sahabat, selain menggunakan hasil pemeriksaan GeNose C19, calon penumpang masih bisa menggunakan hasil pemeriksaan RT-PCR atau rapid tes antigen sebagai salah satu sarat penerbangan.",SE Satgas-12-2021
2021-03-29 20:54:47,sdh ada genose blm?,SE Satgas-12-2021
2021-03-30 0:31:28,Dibandara Soekarno Hatta kira2 mulai kapan ya min menyediakan fasilitas tes genose?,SE Satgas-12-2021
2021-03-30 3:26:40,"Siang sahabat, sesuai SE no.7/2021 Satgas Covid19, untuk perjalanan rute tersebut dapat menyertakan surat keterangan Rapid Test antigen maksimal 2x24 jam atau hasil negatif RT-PCR maksimal 3x24 jam sebelum keberangkatan dihitung sejak pengambilan sampel & mengisi e-HAC Indonesia.",SE Satgas-12-2021
2021-03-30 7:31:53,"Saya baca tapi tidak menemukan info soal perjalanan International . Bagaimana soal karantina apa masih berlaku , atau dikurangi atau dihapus bagi WNI yang dari luar negeri . Mohon infonya",SE Satgas-12-2021
2021-03-31 7:56:46,"Selamat siang min, apa di bandara juanda benar melayani tes genose per 1 april besok ? Lokasi tes nya dibagian mana ? Tolong bantu jawab ya min....",SE Satgas-12-2021
2021-03-31 22:58:55,Jadi anak” dibawah 5 tahun mesti rapid anti bodi atau gak perlu ??,SE Satgas-12-2021
2021-04-09 3:33:05,"Min, hasil test antigen keluarnya salah ketik nih nama octaviani jd octaviano bakal masalah ga ya?",SE Satgas-12-2021
2021-04-10 15:18:53,"Malam sahabat, anak 5 th keatas mengikuti persyaratan terbang sesuai SE no.12/2021 dari Satgas Covid19. Sedangkan anak dibawah usia 5 th tidak wajib tes RT-PCR/ Antigen sebagai syarat perjalanan.",SE Satgas-12-2021
2021-11-03 6:27:14,cek aturan terbaru Perjalanan Orang Dalam Negeri dengan moda transportasi udara berdasarkan Surat Edaran Kementerian Perhubungan No 96 Tahun 2021 . Aturan ini mulai berlaku efektif tanggal 3 November 2021 ya sahabat,SE Kemenhub-96-2021
2021-11-03 6:27:15,"Jika sahabat ingin mendapatkan informasi lainnya, bisa menghubungi Contact Center Dan jangan lupa selalu menerapkan protokol kesehatan setiap sahabat melakukan perjalanan udara ya",SE Kemenhub-96-2021
2021-11-04 10:07:47,Untuk bayi umur 7 bulan apakah boleh dengan antigen saja seperti orangtua nya ?,SE Kemenhub-96-2021
2021-11-07 3:52:12,"Min, kalo perjalanan dari surabaya ke Kupang sudah vaksin dosis 2 apakah harus pcr atau cukup antigen saja ?",SE Kemenhub-96-2021
2021-11-17 10:07:27,min untuk bayi 3 bulan apakah wajib PCR untuk penerbangan SUB-CGK?,SE Kemenhub-96-2021
2021-11-30 4:38:52,"Siang sahabat, Bandar Udara Soekarno Hatta Jakarta dan Bandar Udara Depati Amir Pangkal Pinang dikelola oleh PT Angkasa Pura II (Persero). Informasi lebih lanjut perihal persyaratan penerbangan rute tersebut akan dibantu oleh",SE Kemenhub-96-2021
2021-07-27 7:43:32,Bagaimana mau hub contact center di akun IG saja admin tulis untuk contact center saja kurang huruf g sampai lebaran kuda nggak bakal bisa. Yang kedua di Ig angkasa pura 172 saja di kolom komentar setiap netizen tanya saja nggak di jawab? sebagai akun contacts center fungsinya apa,SE Kemenhub-57-2021
2021-07-28 0:38:05,Anak dibawah 12 tahun dibatasi itu maksudnya gimana ya min? Kalo mau ikut ortu nya berangkat dinas gimana?,SE Kemenhub-57-2021
2021-07-28 5:57:05,"Mohon info, apa harus tes di lab yg terafiliasi di kemenkes seperti berita yg beredar?",SE Kemenhub-57-2021
2021-07-28 10:59:56,Apakah vaksin kedua bisa dilakukan dibandara?,SE Kemenhub-57-2021
2021-07-29 0:22:43,Untuk calon penumpang udara dr Sub ka Jkt kalau mau ikut vaksin di Bandara Juanda apakah dpt prioritas antrean?,SE Kemenhub-57-2021
2021-08-01 16:29:31,"Min, untuk yg berusia 14 tahun penerbangan dari Balikpapan ke Jkt belum divaksin karena di Kota Balikpapan program vaksinasi masih untuk usia 18 tahun keatas saja, bagaimana persyaratan terbangnya. Terima kasih.",SE Kemenhub-57-2021
2021-07-04 4:11:53,Hai #Sahabat dalam mendukung upaya pemerintah pada masa Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat sebagai upaya untuk mencegah penyebaran Virus Covid-19,SE Kemenhub-45-2021
2021-07-04 12:43:03,Malam min. Ini berarti perjalanan diluar Jawa-Bali tanpa kartu vaksin bisa?,SE Kemenhub-45-2021
2021-07-06 8:41:33,Min untuk flight PDG-BDJ via CGK apakah perlu surat vaksin jg? Makasih,SE Kemenhub-45-2021
2021-07-06 10:19:15,Min kalau udh vaksin hrs ttp test pcr ya??,SE Kemenhub-45-2021
2021-07-07 11:16:40,"Min, di Juanda bisa terima untuk PCR test?",SE Kemenhub-45-2021
2021-07-08 14:19:14,"Selamat malam min, berkaitan dgn informasi tsb bagaimana jika blm dpt divaksin covid karena ada alasan tertentu yg berkaitan dgn medis, apakah bisa membawa surat keterangan dokter ? Lalu apakah ada kriteria dokter2 tertentu yg diterima ? Mohon infonya, terimakasih",SE Kemenhub-45-2021
2021-11-10 5:16:59,"Mau tanya untuk penerbangan dari Jakarta ke Surabaya, apakah bisa hanya dengan tes antigen karena saya sudah vaksin kedua? Thx",SE Kemenhub-88-2021
2021-11-13 10:33:13,"Min, saya penerbangan Surabaya - Jakarta, saya sudah vaksin ke dua, apakah tes antigen cukup? Dan apakah di bandara ada fasilitasnya? Harganya berapa?",SE Kemenhub-88-2021
2021-11-28 8:55:31,mohon info lokasi tes antigen di bandara Halim dan jam operasinya ya.. terima kasih,SE Kemenhub-88-2021
2021-11-29 0:00:00,"Pagi sahabat, Bandar Udara APT Pranoto Samarinda dikelola oleh Unit Penyelengara Bandar Udara Direktorat Jenderal Perhubungan Udara, perihal tersebut akan dibantu",SE Kemenhub-88-2021
2021-12-21 3:45:55,Lokasi test terminal 1B disebelah mana ya ? Dan estimasi harga nya?,SE Kemenhub-88-2021
2021-08-13 6:45:55,Min.. Itu PCR 2X24 jam itu dihitung setelah surat hasil pemeriksaan keluar kan?,SE Kemenhub-62-2021
2021-08-13 13:54:39,"Malam sahabat, mohon informasi nama bandara keberangkatan yang dimaksud?",SE Kemenhub-62-2021
2021-10-29 2:39:53,Jadi sungkan mau promo.,SE Kemenhub-93-2021
2021-10-29 2:40:33,"Untuk bayi umur 3 bulan min, sdh boleh naik pesawat? Rute Makassar - Gorontalo",SE Kemenhub-93-2021
2021-10-29 2:41:16,Kalo dosis 2 dari surabaya ke jakarta ?,SE Kemenhub-93-2021
2021-10-29 2:42:11,"halo min mau nanya untuk perjalanan dri luar bali ke bali,  mengunakan rapid/ pcr?",SE Kemenhub-93-2021
2021-10-29 2:46:14,ga jelas,SE Kemenhub-93-2021
