Tanggal,Komentar,SE
2021-10-23 8:26:05,Dari Makassar ke Surabaya masih bisa pakai Antigen ?,SE Satgas-21-2021
2021-10-23 8:48:21,Anak 2 th ya rapid kah?,SE Satgas-21-2021
2021-10-23 9:11:29,Min kalau tanjung Priok ke Ambon bulan November bisa pakai rapid nga,SE Satgas-21-2021
2021-10-23 10:14:22,Min untuk dari Makassar ke Tanjung Priok apakah bisa pake antigen?,SE Satgas-21-2021
2021-10-23 11:46:34,Anak di bawah 12 tahun apa bisa hanya pake surat keterangan sehat dari dokter… tidak usah antigen?? Makasih,SE Satgas-21-2021
2021-10-23 12:56:01,"Kalau makassar sampit, apakah pake antigen?",SE Satgas-21-2021
2021-10-23 14:03:27,Dari semarang ke kumai harus PCR atau antigen min?,SE Satgas-21-2021
2021-10-24 0:54:47,"Min,., mw tanya dri Baubau ke makassar bisa antigen kan yah,., dan untuk anak dbawah dua belas tahun tdk wajib Tes antigen kan?",SE Satgas-21-2021
2021-10-24 4:09:17,Min untuk dari Makassar ke bima apakah bisa pakai antigen tanpa vaksin?,SE Satgas-21-2021
2021-10-24 6:46:52,untuk sby ponti syarat antigen atau PCR,SE Satgas-21-2021
2021-10-24 8:42:33,kak untuk tujuan Jakarta ke Maumere pake antigen atau pcr? apakah anak2 juga harus swab?,SE Satgas-21-2021
2021-10-24 22:53:33,Kaka untuk anak 7 tahun apa di antigen juga,SE Satgas-21-2021
2021-10-25 10:54:30,Anak 12  Tahun yang belum di vaksin apakah cukup Tes rapid antigen saja admin ???,SE Satgas-21-2021
2021-10-27 12:08:31,Min surabaya biak bisa pake antigen ?,SE Satgas-21-2021
2021-10-29 13:46:41,Anak dibawah umur apa wajib PCR/ antigen ??,SE Satgas-21-2021
2021-10-30 17:41:09,Min. Anak usia 4 dan 6 tahun harus antigen kah?,SE Satgas-21-2021
2021-11-01 0:54:11,"Untuk persyaratan perjalaannan kapal dari Pelabuhan Bitung-Surabaya, apakah harus PCR? atau boleh menggunakan Antigen 1x 24 jam?",SE Satgas-21-2021
2021-11-03 9:54:11,Min mau tanya ini anak 2 thn syarat untuk naik kapal pakai antigen apa pcr y?,SE Satgas-21-2021
2021-11-04 5:12:23,Untuk surabaya - ende apakah bisa menggunakan antigen?,SE Satgas-21-2021
2021-11-06 13:50:44,Min kalau dari Priok ke Ambon pake tes apa,SE Satgas-21-2021
2021-11-07 4:40:15,Min untuk ke sorong  sdh bs kah yg bukan Ktp sorong ? pake antigen atau PCR ? Lalu anak 1 thn dan 2 thn haruskah di rapit antigen ?,SE Satgas-21-2021
2021-11-07 9:26:19,Kalau dari kendari-biting pakai Pcr atau antigen?,SE Satgas-21-2021
2021-11-10 14:33:46,"Min tanya dong, anak di bawah 5 tahun harus melampirkan hasil test antigen juga?",SE Satgas-21-2021
2021-11-16 11:02:34,Min kalo untuk ibu hamil dr kupang ke sby apa pakek vaksin juga? Krn dr dokter blm dpt vaksin,SE Satgas-21-2021
2021-12-16 10:24:38,Min mo nanya? Kalau vaksin pertama bisa antigen?,SE Satgas-21-2021
2021-09-07 2:57:54,"Min, kalo sudah ada surat rapid test antigen/ PCR apa harus ada sertifikat vaksin juga?",SE Satgas-17-2021
2021-09-07 3:46:52,min. Jika sudah vaksin lengkap (2 dosis) apakah msh hrs antigen atw pcr?,SE Satgas-17-2021
2021-09-07 4:57:44,Kak kalo uda vaksin 1 dan 2 apa masih perlu rapid tes antigen ya,SE Satgas-17-2021
2021-09-07 4:59:00,Vaksin dijadikan syarat terus,SE Satgas-17-2021
2021-09-07 5:12:46,Pembelian tiket apa bisa dibeli di aplikasi pelni yang ada di play store?? Dan mau tax syarat keberangkatan itu nggak apa Cm pake antigen atau harus pcr?,SE Satgas-17-2021
2021-09-07 6:14:18,@pelni162 Min jd kalau makassar-surabaya pilih salah satu saja? Antara PCR atau ANTIGEN?,SE Satgas-17-2021
2021-09-07 7:27:18,Untuk antigen atau genose apakah masih bisa d pelabuhan ?,SE Satgas-17-2021
2021-09-07 9:04:56,"Admin mohon infonya, rute Makassar - Tj.Priok syarat perjalannnya apa sja? Apa bisa pakai antigen saja? Krn ada kabar katanya hrus PCR + antigen juga.. mohon infonya ya min",SE Satgas-17-2021
2021-09-07 12:43:41,Syarat perjalanan surabaya-makassar pake swab antigen bisa ya kak @pelni162,SE Satgas-17-2021
2021-09-08 0:17:26,"Bagaimana kalau belum ada sertifikat vaksin, apakah cuma pakai test antigen aja bisa",SE Satgas-17-2021
2021-09-08 3:19:55,"Salam. Dari pelabuhan tanjungpriok ke makassar, apakah bisa pake antigen dengan vaksin dosis 1, atw harus pke PCR?",SE Satgas-17-2021
2021-09-19 5:43:45,@pelni162 min untuk penyebrangan bakauheni - merak harus antigen atau pcr? Perlu sertifikat vaksin juga? Jadwal keberangkatan besok atau nanti malam.,SE Satgas-17-2021
2021-10-09 3:38:13,"Assalamualaikum kak.. 
Kalo keberangkatan makasar - tanjung priok tanggal 12 oktober nanti,, bisa pake vaksin dosis 2 dan antigen aja kah?",SE Satgas-17-2021
2021-08-14 12:33:53,"Jakarta batam, bisa gunakan antigen 1x24 jam min ya",SE Satgas-17-2021
2021-08-14 14:11:53,tiket gak seberapa minta PCR ..,SE Satgas-17-2021
2021-08-14 15:42:19,"Mohon info jika mau ke jambi apakah harus ada sertifikat vaksin, terimakasih",SE Satgas-17-2021
