Tanggal,Komentar,SE
2021-10-31 10:01:04,anak2 kasian klo hrs antigen,SE Kemenhub-92-2021
2021-10-31 10:01:06,Masih bisa pake antigen ya  .. kira2 sampai kapan ini berlaku  ?,SE Kemenhub-92-2021
2021-10-31 10:01:35,"Sore  , Rapid Test ANTIGEN Masih berlaku  KA Jarak jauh ?",SE Kemenhub-92-2021
2021-10-31 10:01:36,saya kira udah wajib PCR ??,SE Kemenhub-92-2021
2021-10-31 10:02:20,"Anak"" kasian kalo harus antigen.. Tolong di hapuskan dong peraturan untuk anak  usia di bawah 12 th harus antigen ???? ribet amat sih peraturannya skrg..",SE Kemenhub-92-2021
2021-10-31 10:02:34,Masih nunggu hny nunjukkin surat vaksin aja??,SE Kemenhub-92-2021
2021-10-31 10:02:58,Nah kan.  Sabar ya ibu². .yg mau bawa anaknya bepergian ..lama2 pihak @kai121_  akan ada kabar baik lagi.  Anak di bawah 12 th yg terutama masih balita...nanti di tiadakan. Yukk doa.  Bismillah ..,SE Kemenhub-92-2021
2021-10-31 10:03:28,"Klo dri surabaya ke jakarta perlu PCR atau antigen saja bisa ?,vaksin sudah 2x",SE Kemenhub-92-2021
2021-10-31 10:03:39,Bayi 6 bulan sudah boleh kan   @kai121_,SE Kemenhub-92-2021
2021-10-31 10:05:11,"Maaf   mau tanya, RT-PCR harus di wajibkan atau kalau ga bisa ttp antigen saja...?",SE Kemenhub-92-2021
2021-10-31 10:06:58,Sore  .. Apakah KA wijaya Kusuma & sri tanjung tujuan surabaya - kalibaru wajib rapid tes antigen?,SE Kemenhub-92-2021
2021-10-31 10:07:37,Kalo ke solo dari Surabaya bisa Rapid test aja engga,SE Kemenhub-92-2021
2021-10-31 10:09:07,aman masih boleh antigen ????,SE Kemenhub-92-2021
2021-10-31 10:09:56,"Di stasiun ada fasilitas vaksin gak ya kak, bagi yg ingin perjalanan naik kereta, dan sedang hamil ?",SE Kemenhub-92-2021
2021-10-31 10:10:29,KRL pun harus antigen ya  ?,SE Kemenhub-92-2021
2021-10-31 10:11:06,Pengen naik kereta. Tapi Masih menunggu antigen dihapus buat anak anak huhu,SE Kemenhub-92-2021
2021-10-31 10:13:53,kalau bisa anak2 jgn diswab dong @kai121_,SE Kemenhub-92-2021
2021-10-31 10:14:10,Antigen udah nggak berlaku  ???,SE Kemenhub-92-2021
2021-10-31 10:15:32,saya kira dah cukup double vaksin,SE Kemenhub-92-2021
2021-10-31 10:15:59,"Sama aj beratt, ,,percuma vaksin udh 2x kl msh hrs keluar duit buat pcr/antigen!!",SE Kemenhub-92-2021
2021-10-31 10:17:19,Untuk kereta aglomerasi seperti KRL Jakarta dan KRL Solo-Jogja tidak ada syarat rapid antigen atau PCR kan  ?,SE Kemenhub-92-2021
2021-10-31 10:17:26,Biaya berapa test pcr ?,SE Kemenhub-92-2021
2021-10-31 10:18:01,@kai121_ apakah KA Joglosemarketo wajib PCR???,SE Kemenhub-92-2021
2021-10-31 10:20:02,@kai121_ kak mau tanya lempuyangan slawi harus tetap pakai antigen??,SE Kemenhub-92-2021
2021-10-31 10:36:34,Untuk harga pcr nya berapa,SE Kemenhub-92-2021
2021-10-31 10:37:28,Biaya PCR berapa  ?,SE Kemenhub-92-2021
2021-10-31 10:38:08,Alasan medis belum bisa vaksin cukup bawa surat dokter dan antigen ?,SE Kemenhub-92-2021
2021-10-31 10:38:47,Untuk KA lokal ga perlu kan  ta? Cuma kartu vaksin aja,SE Kemenhub-92-2021
